,utterance,is_grammatical,labels,note
918839,[CHI] oh.,1,,
918840,[CAR] be careful.,,,
918841,[CHI] a rubbish bag.,1,,
918842,[CHI] Mummy.,1,,
918843,[CHI] it's.,1,,
918844,[CHI] car.,1,,
918845,[CHI] throwing rubbish bags.,1,,
918846,[CAR] throwing rubbish bags?,,,
918847,[CHI] yeah.,1,,
918848,[CHI] like Pippin.,1,,
918849,[CHI] like Auntie Mabel dustbin bags.,1,,
918850,[CAR] you're throwing rubbish like Auntie Mabel dustbin bags?,,,
918851,[CHI] yeah.,1,,
918852,[CAR] well it is Monday today.,,,
918853,[CAR] and it is the dustbin men day isn't it?,,,
918854,[CHI] dustbin man day.,1,,
918855,[CHI] yeah.,1,,
918857,[CAR] quite a lot of the neighbors have got a lot of bags haven't they?,,,
918858,[CAR] a lot more than normal.,,,
918859,[CHI] yeah.,1,,
918860,[CHI] like mine.,1,,
918861,[CAR] normally.,,,
918862,[CAR] like yours?,,,
918863,[CAR] yes.,,,
918864,[CAR] it's all the wrappings and extra empty boxes that people are throwing it.,,,
918865,[CAR] come and see what's happening outside.,,,
918866,[CHI] yeah.,1,,
918867,[CHI] please.,1,,
918868,[CHI] please.,1,,
918869,[CHI] my.,1,,
918870,[CHI] see.,1,,
918871,[CHI] what's going on?,1,,
918872,[CAR] peeppeep.,,,
918873,[CAR] here we are.,,,
918874,[CAR] not a lot happening.,,,
918875,[CAR] it's a bank holiday today so people are off work aren't they?,,,
918876,[CAR] still.,,,
918877,[CHI] pull it that blind.,0,,
918878,[CAR] yes.,,,
918879,[CAR] we'll pull the blind back.,,,
918880,[CHI] climb somebody.,0,,
918882,[CAR] no no.,,,
918883,"[CAR] you don't have to climb up, Thomas.",,,
918884,[CAR] you can see.,,,
918885,[CHI] climb up a lorry.,0,,
918886,[CAR] what are you looking for?,,,
918887,[CHI] dustbin wagon.,1,,
918888,"[CAR] oh he won't be here yet, Thomas.",,,
918889,[CAR] we've not had our breakfast yet.,,,
918890,[CHI] looking for them.,0,,
918891,[CAR] you'll have a long wait.,,,
918892,[CHI] mhm.,1,,
918893,[CAR] he doesn't come until.,,,
918894,[CHI] no rubbish bags.,0,,
