,utterance,is_grammatical,labels,note
1619352,[CHI] ah.,1,,
1619353,[CHI] this is like my toy.,1,,
1619354,[CAR] no.,,,
1619355,[CAR] no.,,,
1619356,[CAR] we don't need this.,,,
1619357,[CAR] oh goodness.,,,
1619358,[CAR] there's the phone.,,,
1619359,[CAR] first time on April seventeenth.,,,
1619360,[CAR] come on.,,,
1619361,[CAR] let's have breakfast.,,,
1619363,[CAR] are you hungry?,,,
1619364,[CHI] yeah.,1,,
1619365,[CHI] but where my bracelet gone?,0,verb,
1619366,[CAR] I'm going to bring it to the table in one second.,,,
1619368,[CAR] where what?,,,
1619369,[CHI] where?,1,,
1619370,[CHI] where?,1,,
1619371,[CHI] where what?,1,,
1619372,[CAR] there's some milk to start with and I'll bring the food.,,,
1619374,[CHI] bubbles.,1,,
1619375,[CAR] did it bubble?,,,
1619376,[CHI] yeah.,1,,
1619377,[CAR] do you miss Jacob and Jacob?,,,
1619378,[CHI] yeah.,1,,
1619379,[CAR] or it it fun just to be Mommy and Laura?,,,
1619381,[CHI] yeah.,1,,
1619383,"[CAR] what, sweetie?",,,
1619384,"[CHI] come back, Daniel.",1,,
1619385,"[CHI] come back, Daniel.",1,,
1619386,[CAR] it's fun when Jack and Dee are here?,,,
1619387,[CHI] yeah.,1,,
1619388,[CAR] do you miss them?,,,
1619389,[CHI] yeah.,1,,
1619390,[CAR] okay.,,,
1619391,"[CAR] here you go, Laura.",,,
1619392,[CHI] hey.,1,,
1619393,[CHI] Momum.,1,,
1619394,[CAR] wow.,,,
1619395,[CHI] Momum.,1,,
1619396,[CAR] careful.,,,
1619397,[CAR] that milk is going to spill.,,,
1619399,[CAR] and we've had your spills already today.,,,
1619400,[CAR] okay.,,,
1619401,[CAR] oh.,,,
1619402,[CAR] you need salt and pepper?,,,
1619403,[CHI] yeah.,1,,
1619404,"[CHI] Momma, we have pepper.",1,,
1619405,[CAR] alright.,,,
1619406,[CAR] I'm hungry.,,,
1619407,[CAR] here.,,,
1619408,[CHI] we salt.,0,,
1619409,[CHI] salt.,1,,
1619410,[CHI] more.,1,,
1619411,[CAR] what?,,,
1619414,"[CAR] what, sweetie?",,,
1619415,[CHI] that tastes very good.,1,,
1619416,[CAR] does it?,,,
1619417,[CHI] yeah.,1,,
1619418,[CAR] good.,,,
1619419,[CAR] Mommy really knows how to make eggs.,,,
1619420,[CHI] yeah.,1,,
1619421,"[CHI] you good Mommy, Mommy.",0,,
1619422,[CAR] uhuh.,,,
1619423,"[CAR] thank you, Laura.",,,
1619424,[CAR] you're a good daughter.,,,
1619425,[CAR] I love you.,,,
1619426,[CHI] yeah.,1,,
1619427,[CHI] good coffee pot.,1,,
1619428,[CAR] mhm.,,,
1619429,[CAR] and we're a good family.,,,
1619430,[CHI] no.,1,,
1619431,[CAR] we're not?,,,
1619432,[CHI] no.,1,,
1619433,[CHI] that cuckoo family.,1,,
1619434,[CAR] we're a cuckoo family?,,,
