,utterance,is_grammatical,labels,note
2142347,[CAR] what about Amy's present?,,,
2142348,[CAR] what can she have?,,,
2142349,[CAR] a brick?,,,
2142350,[CHI] no.,1,,
2142351,[CAR] teddy?,,,
2142352,[CHI] I don't want I need I need the bricks.,1,,
2142353,[CAR] please.,,,
2142354,[CHI] please?,1,,
2142355,[CHI] three.,1,,
2142357,[CHI] now point to which one do you want.,1,,
2142358,[CAR] green one.,,,
2142359,"[CHI] and do you want which one do you want, Amy?",1,,
2142360,[CAR] Amy wants a red one.,,,
2142361,"[CHI] red one, Amy.",1,,
2142362,[CAR] because it matches her trousers.,,,
2142363,[CHI] and which one does daddy want?,1,,
2142364,[CAR] well.,,,
2142365,[CAR] are you having the yellow one?,,,
2142366,[CHI] I'm not.,1,,
2142367,[CAR] daddy better have the yellow one then.,,,
2142368,[CHI] yes.,1,,
2142369,[CHI] you keep it for him.,1,,
2142370,[CAR] let's put it there for later.,,,
2142371,[CAR] what about you?,,,
2142372,[CHI] I'm the teacher.,1,,
2142373,[CAR] oh right.,,,
2142374,[CAR] don't you get a brick?,,,
2142375,[CHI] no.,1,,
2142376,[CHI] I'm the teacher.,1,,
2142377,[CHI] that's More Dadaw.,1,,
2142378,[CAR] right.,,,
2142379,[CAR] shall I put it over here for her?,,,
2142380,[CHI] yes.,1,,
2142381,[CHI] and that's More I'm going to find More Dadaw one again.,0,,
2142382,[CHI] More Dadaw.,1,,
2142383,[CAR] thank you.,,,
2142384,[CHI] that's grandad's.,1,,
2142385,[CHI] the horsie is.,1,,
2142386,[CAR] right.,,,
2142387,[CHI] that's yours.,1,,
2142388,[CAR] thank you.,,,
2142389,[CAR] what about daddy?,,,
2142390,[CAR] daddy hasn't got an animal.,,,
2142391,[CHI] there you are.,1,,
2142392,[CAR] oh.,,,
2142393,[CAR] daddy's got a doggy.,,,
2142394,[CAR] More Dadaw and grandad haven't got bricks.,,,
2142395,[CHI] let's give them some.,1,,
2142396,[CAR] what color shall we give them?,,,
2142397,[CHI] red.,1,,
2142398,[CAR] both of them red?,,,
2142399,[CAR] or grandma red or grandad red or what?,,,
2142400,[CHI] grandad red and More Dadaw red and Elsie Grandma red.,1,,
2142401,[CAR] right.,,,
2142402,[CAR] don't think grandad's horse will fit.,,,
2142403,[CAR] oh yes.,,,
2142404,[CAR] there.,,,
2142405,[CAR] now Elsie Grandma hasn't got an animal.,,,
2142406,[CHI] okay.,1,,
2142407,[CHI] Elsie Grandma has got cow.,0,,
2142408,[CAR] Elsie Grandma has got cow.,,,
2142409,[CAR] okay.,,,
2142410,[CAR] and Amy hasn't got an animal.,,,
2142411,[CHI] what?,1,,
2142412,[CAR] Amy hasn't got an animal.,,,
2142413,[CAR] pardon?,,,
2142414,[CHI] where's her brick?,1,,
2142415,[CAR] there.,,,
2142416,"[CAR] oh you're noisy, Amy.",,,
2142417,[CHI] he's going to have a cow on there.,1,,
2142418,[CAR] okay.,,,
2142419,[CHI] I'll put yours over there.,1,,
2142420,[CHI] over there.,1,,
2142421,[CHI] under the house.,1,,
2142422,[CHI] I was sitting here!,1,,
2142423,[CAR] oh.,,,
2142424,[CAR] I was sitting there actually.,,,
2142425,[CAR] I can sit over here.,,,
2142426,[CAR] no?,,,
2142427,[CHI] right.,1,,
2142428,[CHI] I need some some lots of bricks.,1,,
2142429,[CAR] okay.,,,
2142430,[CAR] what colors do you want?,,,
2142431,[CHI] one two three four five.,1,,
2142432,[CAR] yes.,,,
2142433,[CAR] but what colors?,,,
2142434,[CHI] blue.,1,,
