,utterance,is_grammatical,labels,note
2183888,[CAR] right.,,,
2183889,[CHI] you've got only got two people.,1,,
2183890,[CAR] yes.,,,
2183891,[CAR] that's because you've nicked them all.,,,
2183892,[CHI] here's some.,1,,
2183893,[CAR] thought you wanted a monster.,,,
2183894,[CHI] the monster's growing all up our cars.,1,,
2183895,[CAR] okay.,,,
2183896,"[CAR] but I'll have to make him first, won't I?",,,
2183897,[CHI] yes.,1,,
2183898,[CHI] you can't have more.,1,,
2183899,[CAR] I'm not going to.,,,
2183900,[CAR] there.,,,
2183901,[CAR] it's not very big now.,,,
2183902,[CAR] never mind.,,,
2183903,[CHI] let him roar at him.,1,,
2183904,[CAR] raaahhhhh.,,,
2183905,[CHI] oh let's run away.,1,,
2183906,[CHI] let's run away.,1,,
2183907,[CHI] let's run away.,1,,
2183908,[CHI] let's run away.,1,,
2183909,[CAR] wee!,,,
2183910,[CHI] let's run away.,1,,
2183911,[CHI] let's runaway.,1,,
2183912,[CHI] let's run away.,1,,
2183913,[CHI] let's run away.,1,,
2183914,[CHI] hide under here.,1,,
2183915,[CHI] this is a very good place.,1,,
2183916,[CAR] okay.,,,
2183917,[CHI] there you go.,1,,
2183918,"[CHI] you can't get them now, monster.",1,,
2183919,[CAR] raaahhh.,,,
2183920,[CAR] I've got Amy.,,,
2183921,[CAR] raaahhh.,,,
2183922,[CHI] no.,1,,
2183923,[CHI] she's only real.,1,,
2183924,[CHI] you're only pretend.,1,,
2183925,[CAR] coming for them.,,,
2183926,"[CHI] not mine, are you?",1,,
2183927,[CAR] yes.,,,
2183928,[CHI] because mine's in here.,1,,
2183929,[CAR] raaahhh.,,,
2183930,[CAR] I'll wait here until you come out.,1,,
2183932,"[CHI] go away, monster.",1,,
2183933,[CHI] they want they's they to go away.,0,,
2183934,[CHI] so they bang him.,1,,
2183935,[CAR] oh dear.,,,
2183936,[CAR] has he fallen over?,,,
2183937,[CHI] yes.,1,,
2183938,[CHI] I'm.,1,,
2183939,[CAR] oh.,,,
2183940,[CAR] he's lost a leg.,,,
2183941,[CAR] he's fallen over.,,,
2183942,[CAR] I need one of these.,,,
2183943,[CAR] I think he's probably better with one of these.,,,
2183944,[CAR] right.,,,
2183945,[CAR] uhhuh?,,,
2183946,[CHI] they gone away.,0,,
2183947,"[CHI] they going home, monster.",0,,
2183948,[CAR] okay.,,,
2183949,[CAR] bye bye.,,,
2183950,[CAR] come and play again tomorrow.,,,
2183951,[CHI] they coming again.,0,,
2183952,[CAR] hooray.,,,
2183953,[CAR] watch me play.,,,
2183954,[CHI] you're my daddy.,1,,
2183955,[CAR] okay.,,,
2183956,[CAR] come and have a bath then.,,,
2183957,[CHI] no.,1,,
2183958,[CHI] we not at home.,0,,
2183959,[CHI] we came back.,1,,
2183960,[CAR] okay.,,,
2183961,[CAR] where are we then?,,,
2183962,[CHI] we are at park.,0,,
2183963,[CAR] hooray.,,,
2183964,[CHI] I'm stuck.,1,,
2183965,[CAR] oh no.,,,
2183966,[CHI] stuck.,1,,
2183967,[CHI] stuck.,1,,
2183968,[CHI] stuck.,1,,
2183969,[CHI] la la la.,1,,
2183970,[CHI] shall we make a tunnel?,1,,
2183971,[CAR] okay.,,,
2183972,[CHI] okay.,1,,
2183973,[CHI] they are the stairs.,1,,
2183974,[CHI] Amy.,1,,
2183975,[CAR] Amy.,,,
2183976,[CAR] you're not allowed that.,,,
2183977,"[CHI] you can't get through, monster.",1,,
2183978,[CHI] I'm going anyway.,1,,
2183979,[CHI] does that go in half?,1,,
2183980,[CAR] pardon?,,,
2183981,[CHI] does that go in half?,1,,
2183982,[CAR] no.,,,
2183983,[CAR] that doesn't go in half.,,,
2183984,[CAR] it's just one big block.,,,
