,utterance,is_grammatical,labels,note
715944,[CAR] what's that?,,,
715945,[CHI] Nin Nin.,1,,
715946,[CHI] chip shops.,1,,
715947,[CAR] chip shops.,,,
715948,[CAR] oh be careful.,,,
715949,[CAR] you're dropping it.,,,
715950,[CAR] is that the truck?,,,
715952,[CHI] oh Nin Nin.,1,,
715953,[CHI] who this?,0,,
715954,[CAR] it's the wheelbarrow.,,,
715955,[CAR] we've been to Isabel's house today haven't we?,,,
715956,[CAR] have we been to Isabel's house?,,,
715957,[CHI] no.,1,,
715959,[CHI] two steps.,1,,
715960,[CAR] yes.,,,
715961,[CAR] that's right.,,,
715962,[CAR] with the steps.,,,
715963,[CAR] we went this morning to see Isabel didn't we?,,,
715964,[CHI] choo choos.,1,,
715965,[CAR] that's right.,,,
715966,[CAR] yes.,,,
715967,[CAR] they had Thomas The Tank Engine on the video.,,,
715968,[CAR] they were watching something else weren't they?,,,
715969,[CHI] no.,1,,
715970,[CAR] they were watching Teletubbies.,,,
715971,[CAR] and you said choo choos over and over again and in the end they put Thomas The Tank Engine on the video because where you first saw that video.,,,
715972,[CHI] babies.,1,,
715973,[CHI] mhm.,1,,
715974,[CAR] at Isabel's house.,,,
715975,[CHI] where choo choos?,0,,
715976,[CAR] and we had some lunch.,,,
715977,[CAR] we've had cheese and pasta sauce.,,,
715978,[CAR] no.,,,
715979,[CAR] we haven't.,,,
715980,[CAR] we've had pasta and cheese sauce haven't we?,,,
715981,[CHI] mhm.,1,,
715982,[CAR] and some sandwiches.,,,
715983,[CHI] no.,1,,
715984,[CAR] and some yoghurt and some fruit.,,,
715985,[CAR] and you've been playing in the garden haven't you?,,,
715986,[CAR] with Isabel and Bethany.,,,
715987,[CAR] and Bethany's Mummy Jill.,,,
715988,[CHI] Nin Nin.,1,,
715989,[CHI] a poo.,1,,
715990,[CHI] baby poo.,1,,
715991,[CAR] baby poo.,,,
715992,[CAR] yes.,,,
715993,[CAR] Isabel used her potty while we were there didn't she?,,,
715994,[CHI] baby.,1,,
715995,[CAR] yes.,,,
715996,[CAR] and Isabel likes Pooh Bear.,,,
715997,[CAR] they've got Pooh Bear everywhere haven't they?,,,
715998,[CAR] she has got a lovely dressing gown with Pooh Bear on it.,,,
715999,[CAR] and she has got a lot of Pooh Bear toys.,,,
716000,[CAR] and Pooh Bear bath toys.,,,
716001,[CHI] Nin Nin.,1,,
716002,[CAR] yes.,,,
716003,[CHI] two steps.,1,,
716004,[CAR] yes.,,,
716005,[CHI] choo choos.,1,,
716006,[CAR] and you were playing but we couldn't play in the sand pit today because it looked as if it was going to rain didn't it?,,,
716007,[CAR] so we kept the lid of the sand pit closed.,,,
716008,[CHI] Nin Nin.,1,,
716009,[CHI] two steps.,1,,
716010,[CHI] Nin Nin.,1,,
716011,[CHI] two steps.,1,,
716012,[CHI] Nin Nin.,1,,
716013,[CHI] choo choos.,1,,
716014,[CAR] choo choos.,,,
716015,[CAR] yes.,,,
716016,[CAR] sorry.,,,
716017,[CAR] Mummy's blowing her nose.,,,
716018,[CAR] I think it's being out in the garden.,,,
716019,[CAR] Mummy's nose tickles.,,,
716020,[CHI] Nin Nin.,1,,
716021,[CHI] choo choos.,1,,
716022,[CAR] choo choos.,,,
716023,[CAR] and it's making her sneeze.,,,
716024,[CAR] you were playing weren't you?,,,
716025,[CAR] you were running round the garden together.,,,
716026,[CAR] and what else were you doing?,,,
716027,[CHI] ball.,1,,
716028,[CHI] oh dear.,1,,
716029,[CAR] you were playing with your Teletubby ball.,,,
716030,[CHI] baby football.,1,,
716031,[CHI] baby football.,1,,
716032,[CAR] baby football.,,,
716033,[CAR] yes.,,,
716034,[CAR] it was quite a small ball wasn't it?,,,
716035,[CHI] small ball.,1,,
716036,[CHI] two footballs.,1,,
716037,[CAR] small ball.,,,
716038,[CAR] two footballs.,,,
716039,[CAR] and she had a nice slide didn't she?,,,
716040,[CHI] mhm.,1,,
716041,[CAR] you were playing on the slide with Bethany.,,,
716042,[CHI] chair.,1,,
716043,[CAR] yes.,,,
716044,[CAR] that's right.,,,
716045,[CAR] Bethany sat on the little wooden chair at a wooden table to eat her lunch didn't she?,,,
716046,[CAR] but she's quite young compared to you and Isabel.,,,
716047,[CAR] and Isabel sat on a big chair.,,,
716048,[CAR] and you were wandering all over the place.,,,
716049,[CAR] you didn't really wanna sit down did you?,,,
716050,[CAR] till we restrained you.,,,
716053,[CHI] chair.,1,,
716054,[CHI] Nin Nin.,1,,
716055,[CHI] Nin Nin.,1,,
716056,[CAR] yes.,,,
716057,[CAR] be careful now.,,,
716058,[CAR] what are you doing?,,,
716059,[CAR] are you tipping your trucks into your highchair?,,,
716061,[CHI] what this?,0,,
716062,[CAR] that's a.,,,
716063,[CAR] what is it?,,,
716065,[CHI] po trucks.,1,,
716066,[CAR] po trucks.,,,
716067,[CAR] the red truck.,,,
716068,[CAR] I think Mummy oughta shake the tablecloth outside or we oughta wipe it because we've got some crumbs haven't we?,,,
716069,[CHI] no-no.,1,,
716070,[CAR] we were in such a hurry this morning we didn't really have time to clear up properly did we?,,,
716071,[CHI] Nin Nin.,1,,
716072,[CHI] two truck.,0,,
716073,[CAR] two trucks.,,,
716074,[CAR] just pop them on there a moment while Mummy shakes the tablecloth outside.,,,
716075,[CAR] looks like Purdie's going to come in.,,,
716076,"[CHI] hello, puss.",1,,
716077,[CHI] hello.,1,,
716078,[CHI] Bow.,1,,
716079,[CAR] what are you doing?,,,
716080,[CHI] football.,1,,
716081,[CAR] it isn't really a football that is it?,,,
716082,[CAR] it's a stone for one of the trucks.,,,
716083,[CHI] Nin Nin.,1,,
716084,[CHI] football.,1,,
716085,[CAR] you're making a lot of noise aren't you?,,,
716086,"[CAR] Thomas, don't drop them on the floor please.",,,
716088,[CHI] football.,1,,
716089,[CHI] Nin Nin.,1,,
716090,[CHI] football.,1,,
716091,[CHI] two steps.,1,,
716092,[CAR] oh right.,,,
716093,[CAR] are you still talking about the steps this morning?,,,
716094,[CHI] no.,1,,
716095,[CAR] you enjoyed playing on those steps didn't you?,,,
716096,[CAR] you weren't really playing.,,,
716097,[CAR] you were just walking up and down.,,,
716098,[CAR] I'd be very surprised if you weren't tired now.,,,
716099,[CAR] it uses up a lot of energy doesn't it?,,,
716100,[CAR] walking up and down steps.,,,
716101,[CHI] Nin Nin.,1,,
716102,[CHI] Nin Nin.,1,,
716103,[CHI] Nin Nin.,1,,
716104,[CAR] yes.,,,
716105,[CHI] Nin Nin.,1,,
716106,[CHI] blue trucks.,1,,
716107,[CAR] blue trucks.,,,
716108,[CAR] at Isabel's house you were playing with a wheelbarrow weren't you?,,,
716109,[CAR] why don't you put those trucks into the wheelbarrow?,,,
716110,[CAR] where's the wheelbarrow?,,,
716111,[CAR] is it behind you?,,,
716112,[CHI] Nin Nin.,1,,
716114,[CAR] that was quite funny wasn't it?,,,
716115,[CAR] because we've wanted to get you a wheelbarrow for a very long time.,,,
716116,[CAR] and we bought that at the weekend.,,,
716117,[CAR] and we went to Isabel's and she has got an identical wheelbarrow.,,,
716118,[CAR] and that's so you can help Mummy in the garden during the Summer when Mummy has got to do some jobs outside.,,,
716119,[CHI] jobs.,1,,
716120,[CHI] Nin Nin.,1,,
716121,[CHI] jobs.,1,,
716122,[CAR] Nin Nin.,,,
716123,[CAR] jobs.,,,
716124,[CAR] you can come along with the wheelbarrow.,,,
716125,[CAR] and what else can you put in the wheelbarrow?,,,
716127,[CAR] you have a rake.,,,
716128,[CHI] two trucks.,1,,
716129,[CAR] yes.,,,
716130,[CAR] and a rake and a spade and some buckets and some plant pots.,,,
716131,[CAR] it's a nice set isn't it?,,,
